fips   For 0-4 total (not just related kids) poverty ratios     For 5-17 total (not just related kids) poverty ratios                   For 18-64 poverty ratios                                   For 65+ poverty ratios
     cps05 irspr05 irsnf05    fs05   cpsse   gvfse  fnlse   cps05 irspr05 irsnf05    fs05   cpsse   gvfse  fnlse   cps05 irspr05 irsnf05    fs05   cpsse   gvfse   fnlse   cps05 irspr05 irsnf05   SSI05   cpsse   gvfse   fnlse smpsize
39 22.7069 13.1820 10.2705  9.1222 2.87037 3.17995 3.0598 15.0570 17.1076 10.2705  9.1222 1.55531 1.68165 1.6784 11.5397 13.1820 10.2705  9.1222 0.90553 0.92026 0.87849  6.4627  8.2046 38.7431  2.3701 1.21367 1.23186 1.41183  2075
40 22.8844 16.9263 14.9560 12.1988 3.09095 4.35813 4.5031 19.2177 23.9665 14.9560 12.1988 2.25698 2.81577 2.7975 14.1717 16.9263 14.9560 12.1988 1.34647 1.37477 1.33339 12.7640  8.9280 41.9671  3.3692 1.71930 2.26609 2.13446   983
41 24.3133 13.0154 15.6157 11.8039 5.24833 4.30846 4.1104 14.6675 18.2116 15.6157 11.8039 1.87349 2.41056 2.5712 11.3243 13.0154 15.6157 11.8039 1.35720 1.20614 1.26158  5.0837  9.4966 35.7587  2.6823 1.30919 1.47987 1.84749  1020
42 17.8114 12.1154  9.7159  8.7130 2.72782 2.74064 2.6605 16.1207 15.2362  9.7159  8.7130 1.65045 1.67322 1.5627  9.7017 12.1154  9.7159  8.7130 0.75498 0.73351 0.73436  8.8628 10.3033 39.5404  3.0805 1.49799 1.27255 1.30666  2231
44 17.2319 11.3853 13.1710  6.8402 3.63717 3.63414 3.8674 18.2312 15.4628 13.1710  6.8402 2.54460 2.58632 2.4563 10.1557 11.3853 13.1710  6.8402 1.05119 1.06966 1.05247 10.2748  7.5065 44.1378  4.2070 2.41080 2.00163 2.04787  1233
45 18.0581 15.5557 14.9630 12.4064 3.29545 3.97306 4.3687 19.6074 21.8127 14.9630 12.4064 2.55382 2.64108 2.6780 13.7257 15.5557 14.9630 12.4064 1.27279 1.29277 1.25587 13.1279  6.9007 46.4342  4.5754 2.29216 2.38874 2.42168  1062
46 16.5843 13.7746  8.7097  7.4667 4.98859 3.84101 4.1705 15.4234 16.9026  8.7097  7.4667 4.66658 2.80152 2.7332 10.1914 13.7746  8.7097  7.4667 1.54693 1.23677 1.26388 11.7704 10.8191 31.1909  2.7925 3.24746 2.21157 2.14548  1109
47 14.1378 15.9338 12.1272 14.5012 3.23234 3.31984 3.9725 21.0403 21.8300 12.1272 14.5012 3.55091 2.79606 2.6611 13.6993 15.9338 12.1272 14.5012 1.23531 1.27646 1.22506 12.2704  7.7955 47.4834  4.7034 2.68421 2.24495 2.31424  1054
48 24.8098 17.1998 15.2515 10.6311 1.92146 2.02599 2.0349 20.7512 24.1985 15.2515 10.6311 1.28062 1.32416 1.3164 14.0656 17.1998 15.2515 10.6311 0.64420 0.67159 0.65485 12.5799  8.2927 44.6613  6.9429 1.05119 1.16822 1.17447  3959
49 13.5166 12.7061 10.3148  5.3315 2.70296 3.24636 3.2210 10.9291 15.1477 10.3148  5.3315 2.54086 2.23540 2.1684  8.1771 12.7061 10.3148  5.3315 1.41456 1.17664 1.27083  7.2402  7.3664 35.2950  1.7207 2.46191 2.18805 2.12788   875
50  9.8807 12.1096  7.9837  7.4787 2.57332 2.93027 3.1716  6.5224 14.0154  7.9837  7.4787 1.44982 1.55808 1.8243  7.4993 12.1096  7.9837  7.4787 0.66708 0.96019 0.99577  8.5944 12.1375 35.4796  2.6685 1.69115 1.87284 1.89059  1052
51 13.5335 10.9152 10.9550  6.6252 3.05876 2.74987 2.7210 11.8953 14.3163 10.9550  6.6252 1.89208 2.00175 1.9612  7.7887 10.9152 10.9550  6.6252 0.73484 0.79823 0.81771 10.2370  6.0279 39.5191  4.0239 1.65650 1.57887 1.56157  1605
53 14.2477 11.1521 12.0813  8.3700 2.59191 3.21300 3.5514 14.9709 14.6537 12.0813  8.3700 1.94858 2.12876 2.1032  8.6302 11.1521 12.0813  8.3700 0.74498 0.97007 1.05821  9.0146  7.4659 33.8802  3.5341 1.98469 1.91864 1.84704  1310
54 30.1171 16.7668 14.5337 14.6903 4.51154 5.24254 5.0138 17.7950 23.5009 14.5337 14.6903 2.77884 2.74839 2.9720 13.7299 16.7668 14.5337 14.6903 1.25259 1.41997 1.50179 13.8472  7.4107 51.2498  4.4320 2.76514 2.47216 2.31791   865
55 11.2664 11.2554  7.7449  6.5481 2.38244 2.63550 3.0102 14.4386 14.2459  7.7449  6.5481 2.13213 2.11849 1.9155  8.6728 11.2554  7.7449  6.5481 0.75498 0.85954 0.85863 11.2000 10.8844 33.2698  2.2215 1.45499 1.86227 1.59961  1429
56 23.2747 12.4782  7.5946  4.8017 5.06922 4.34671 3.7623  9.7754 15.3082  7.5946  4.8017 2.00524 2.02437 2.0584  9.4222 12.4782  7.5946  4.8017 1.30613 1.13707 1.08907 11.1973  9.5139 31.4359  1.3977 2.36833 2.47650 2.25731   932
